postID,title,description,date,group
18,"Chuyên gia khuyên thay đổi thói quen chi tiêu, tiết kiệm năm 2025","Cần bỏ 4 thói quen tài chính không tốt, áp dụng 8 cách chi tiêu/tiết kiệm mới để kiểm soát tài chính, sử dụng tiền lì xì hiệu quả thay vì cất két.",2025-02-01T16:00:00+07:00,Tài chính
19,"Lạm phát Mỹ còn xa mục tiêu 2%, Fed dự kiến giữ nguyên lãi suất","Thước đo lạm phát ưa thích của Fed tăng khớp dự báo nhưng vẫn xa mục tiêu 2%, quan chức Fed ra tín hiệu tiếp tục 'án binh' lãi suất.",2025-02-01T16:00:00+07:00,Thế giới
20,Chính sách Trump 2.0 có thể gây phân mảnh kinh tế toàn cầu,"Việc ông Trump tái đắc cử có thể đánh dấu dịch chuyển chính sách thương mại Mỹ, gây phân mảnh kinh tế thế giới; ông Trump cũng thảo luận ""rất nghiêm túc"" với Nga về Ukraine.",2025-02-01T16:00:00+07:00,Thế giới
21,"Ukraine đối mặt lạm phát tăng vọt, buộc Ngân hàng Quốc gia nâng lãi suất","Ukraine đối mặt lạm phát 10,7% cuối 2024, Ngân hàng Quốc gia nâng lãi suất lên 14,5% để kiềm chế.",2025-02-02T16:00:00+07:00,Chủ đề Thế giới
22,"Giá gạo châu Á ổn định, giá gạo Ấn Độ neo ở mức thấp","Giá gạo châu Á ổn định do nhu cầu yếu và nguồn cung tăng, giá gạo xuất khẩu Ấn Độ ổn định ở mức thấp nhất trong 18 tháng.",2025-02-02T16:00:00+07:00,Chủ đề Hàng hóa
23,Mỹ điều tra DeepSeek sử dụng chip AI bị cấm,Bộ Thương mại Mỹ điều tra DeepSeek có sử dụng chip AI của Mỹ thuộc diện cấm vận chuyển sang Trung Quốc hay không.,2025-02-02T16:00:00+07:00,Chủ đề Thế giới
24,Ngân hàng Hàn Quốc điều chỉnh chiến lược phục vụ người lớn tuổi,Các ngân hàng Hàn Quốc điều chỉnh chiến lược bán hàng để phục vụ tốt hơn nhóm khách hàng lớn tuổi.,2025-02-02T16:00:00+07:00,Chủ đề Thế giới
25,"Thị trường tiền tệ biến động trước rủi ro thuế quan Mỹ, vàng đạt đỉnh","Đồng USD tăng hơn 1% so với CAD sau bình luận về thuế quan của Trump, vàng chạm đỉnh 2.836,8 USD/ounce do lo ngại thuế quan Mỹ.",2025-02-02T16:00:00+07:00,Chủ đề Thế giới
26,"Ngân hàng Trung Quốc siết chặt thanh toán với Nga, thời gian chờ vàng tại Anh tăng","Ngân hàng Trung Quốc chặn thanh toán sang Nga sau lệnh trừng phạt của Mỹ, xuất khẩu Nga tháng 12 giảm 19%, thời gian chờ lấy vàng từ Ngân hàng Anh tăng từ 1 lên 8 tuần.",2025-02-02T16:00:00+07:00,Chủ đề Thế giới
27,Văn hóa Việt Nam ‘níu chân’ nhà đầu tư Hàn Quốc,"Chủ tịch KoCham chia sẻ văn hóa, con người Việt Nam gần gũi, tạo sự yên tâm cho nhà đầu tư Hàn Quốc.",2025-02-02T16:00:00+07:00,Chủ đề Kinh tế
28,Lạm phát ở một nước Đông Nam Á giảm mạnh nhưng vẫn cao hơn Việt Nam gần 8 lần,"Lạm phát của một nước Đông Nam Á vượt 31% năm 2023, vẫn cao hơn Việt Nam gần 8 lần.",2025-02-02T16:00:00+07:00,Chủ đề Thế giới
29,"So sánh OpenAI với mô hình Trung Quốc, GS Yann LeCun nói gì",GS Yann LeCun cho rằng so sánh chi phí AI của Mỹ và Trung Quốc là một sự hiểu lầm lớn.,2025-02-02T16:00:00+07:00,Chủ đề Thế giới
30,"Một quốc gia Đông Nam Á vượt Anh, Pháp, GDP thứ 8 thế giới",GDP của một quốc gia Đông Nam Á được xếp thứ 8 thế giới trong năm 2024.,2025-02-02T16:00:00+07:00,Chủ đề Thế giới
31,"Giao thông đi trước mở đường, phát triển đồng bộ","Phát triển giao thông đồng bộ là mục tiêu quan trọng, giao thông có vai trò đi trước mở đường, thúc đẩy kinh tế - xã hội.",2025-02-02T16:00:00+07:00,Chủ đề Kinh tế
32,"Nhật Bản giám sát giao dịch tiền số, Mỹ áp thuế quan mới","Nhật Bản yêu cầu sàn giao dịch tiền số tiết lộ thông tin khách hàng từ 2026, Mỹ áp thuế 25% với Mexico, Canada và 10% với Trung Quốc.",2025-02-02T16:00:00+07:00,Chủ đề Thế giới
33,"Lãi suất cho vay 2025 sẽ ra sao, Agribank có lãi suất cao nhất","Lãi suất cho vay 2025 được nhiều người quan tâm, Agribank có lãi suất huy động cao nhất 24 tháng.",2025-02-02T16:00:00+07:00,Chủ đề Tài chính
34,"Xuất khẩu hàng hóa nhộn nhịp, Việt Nam xuất siêu CPTPP","Xuất khẩu hàng hóa nhộn nhịp đầu năm, Việt Nam liên tục xuất siêu sang thị trường CPTPP.",2025-02-02T16:00:00+07:00,Chủ đề Kinh tế
35,HOSE-Index 4.0 tăng chất cho thị trường chứng khoán,"Bộ chỉ số HOSE-Index 4.0 có sự nâng cao về chất lượng, giúp thị trường chứng khoán phát triển.",2025-02-02T16:00:00+07:00,Chủ đề Thị trường
36,"Đẩy nhanh các dự án điện, tăng trưởng GDP 8% năm 2025","Chính phủ yêu cầu tăng trưởng GDP 8% năm 2025, cần bổ sung 10-12 nghìn MW nguồn điện mỗi năm.",2025-02-02T16:00:00+07:00,Chủ đề Kinh tế
37,NHNN bán ngoại tệ ảnh hưởng đến hệ thống ngân hàng,"Việc NHNN bán ngoại tệ khiến cung tiền M2 bị co hẹp, thúc đẩy ngân hàng phát hành trái phiếu.",2025-02-02T16:00:00+07:00,Chủ đề Tài chính
38,"Nga phát hiện kho báu ""vàng trắng"", giá dầu có thể tăng","Nga phát hiện tiềm năng năng lượng mới, giá dầu có thể đạt 93 USD nếu lệnh trừng phạt ảnh hưởng Iran và Nga.",2025-02-02T16:00:00+07:00,Chủ đề Hàng hóa
39,Bất động sản nghỉ dưỡng và căn hộ dịch vụ có tiềm năng,"Căn hộ dịch vụ giữ ""phong độ"" với tỉ lệ lấp đầy 90%, bất động sản Đà Nẵng và các dự án NOXH có nhiều triển vọng.",2025-02-02T16:00:00+07:00,Chủ đề Bất động sản
40,Các tin tức kinh tế đáng chú ý,"Giá vàng thế giới tăng, giá xăng dầu giảm, thị trường trái phiếu doanh nghiệp thuận lợi, và các quy định mới về biển số xe.",2025-02-02T16:00:00+07:00,Chủ đề Kinh tế
41,"Đông khách dịp Tết, xe hợp đồng chạy không xuể",Nhiều chủ xe dịch vụ hợp đồng cho biết xe kín lịch hết tháng 1 Âm lịch do nhu cầu thuê xe tăng cao trong dịp Tết.,2025-02-03T16:00:00+07:00,Chủ đề Kinh tế
42,"Giá nhà neo cao, người trẻ chật vật với ước mơ sở hữu nhà","Giá bất động sản tại các thành phố lớn năm 2024 vẫn ở mức cao, phân khúc căn hộ liên tục thiết lập mặt bằng giá mới, gây khó khăn cho người trẻ.",2025-02-03T16:00:00+07:00,Chủ đề Bất động sản
43,Cải cách môi trường kinh doanh khơi dậy động lực tăng trưởng,"Bộ trưởng Nguyễn Chí Dũng nhấn mạnh sự quan trọng của sự quan tâm, chỉ đạo của người đứng đầu trong cải cách môi trường kinh doanh.",2025-02-03T16:00:00+07:00,Chủ đề Kinh tế
44,"Cải cách thông quan, khơi thông xuất nhập khẩu đạt kỷ lục","Cơ quan hải quan cải cách, hiện đại hóa thông quan giúp kim ngạch xuất nhập khẩu năm 2024 đạt hơn 780 tỷ USD.",2025-02-03T16:00:00+07:00,Chủ đề Hàng hóa
45,Hàng Việt vươn ra biển lớn nhờ công nghệ và hợp tác,Hàng Việt áp dụng công nghệ mới và hợp tác doanh nghiệp để vươn ra thị trường quốc tế.,2025-02-03T16:00:00+07:00,Chủ đề Hàng hóa
46,TP Hồ Chí Minh khẳng định vị thế đầu tàu kinh tế,"TP Hồ Chí Minh tiếp tục phát triển mạnh mẽ, khẳng định vị thế đầu tàu kinh tế và hướng đến mục tiêu tăng trưởng bứt phá.",2025-02-03T16:00:00+07:00,Chủ đề Kinh tế
47,Cảng Đồng Nai vận chuyển hơn 12 ngàn TEUs hàng hóa xuất khẩu dịp Tết,Cảng Đồng Nai vận chuyển hơn 12 ngàn TEUs hàng hóa xuất khẩu trong kỳ nghỉ Tết Nguyên đán Ất Tỵ 2025.,2025-02-03T16:00:00+07:00,Chủ đề Kinh tế
48,"Mục tiêu 1,5 triệu doanh nghiệp vào năm 2025: Cần cải cách đột phá","Việt Nam đặt mục tiêu 1,5 triệu doanh nghiệp vào năm 2025, đòi hỏi cải cách đột phá trong Luật Doanh nghiệp.",2025-02-03T16:00:00+07:00,Chủ đề Kinh tế
49,"Bộ Tài chính: Hoạt động mua bán dần trở lại bình thường, giá giảm","Hàng hóa dồi dào, nhu cầu tiêu dùng không cao, giá cả ổn định.",2025-02-03T16:00:00+07:00,Chủ đề Hàng hóa
50,"Bắc Giang phát triển khu công nghiệp, Hà Nội phát triển thị trường tài chính","Bắc Giang xác định công nghiệp là trụ cột kinh tế, Hà Nội phát triển thị trường tài chính - tiền tệ gắn với hội nhập.",2025-02-03T16:00:00+07:00,"Chủ đề Bất động sản, Kinh tế"
51,Ban Quản lý các khu công nghiệp Thái Nguyên tạo điều kiện cho nhà đầu tư,"Ban Quản lý các khu công nghiệp tỉnh Thái Nguyên đồng hành, tạo điều kiện thuận lợi cho doanh nghiệp.",2025-02-03T16:00:00+07:00,Chủ đề Bất động sản
52,Canada lo ngại tranh chấp thương mại với Mỹ,Canada lo ngại tranh chấp thương mại có thể khiến Mỹ phải mua dầu Venezuela.,2025-02-03T16:00:00+07:00,Chủ đề Thế giới
53,Nâng cao hiệu quả huy động vốn cho doanh nghiệp khởi nghiệp,Bài viết đề xuất giải pháp giúp doanh nghiệp khởi nghiệp huy động vốn hiệu quả.,2025-02-03T16:00:00+07:00,Chủ đề Kinh tế
54,NLG: Bất động sản năm 2025 có nhiều cơ hội,Tổng Giám đốc Nam Long Group tin rằng thị trường bất động sản năm 2025 có nhiều cơ hội hơn thách thức.,2025-02-03T16:00:00+07:00,Chủ đề Bất động sản
55,Tiêu tiền quyết định sự thành công,Cách một người kiếm và tiêu tiền quyết định sự phát triển trong tương lai.,2025-02-03T16:00:00+07:00,Chủ đề Tài chính
56,"Sau khi làm giàu, làm gì tiếp theo?","Hành trình ý nghĩa sau khi làm giàu: từ thiện, đầu tư, theo đuổi đam mê hay tận hưởng cuộc sống.",2025-02-03T16:00:00+07:00,Chủ đề Tài chính
57,Hà Nội cho thuê đất xây sân golf và dịch vụ,"Hà Nội cho thuê gần 65.000m2 đất xây dựng sân golf và dịch vụ, dự án 119,2ha.",2025-02-03T16:00:00+07:00,Chủ đề Bất động sản
58,"Thái Lan có đối thủ mới: Campuchia bùng nổ ""công nghiệp không khói""","Campuchia phát triển du lịch hạng sang, không còn là điểm đến ""giá rẻ"".",2025-02-03T16:00:00+07:00,Chủ đề Thế giới
59,"Xử lý thao túng giá, đầu cơ bất động sản","Thanh Hóa tập trung chấn chỉnh, xử lý thao túng giá, đầu cơ bất động sản.",2025-02-03T16:00:00+07:00,Chủ đề Bất động sản
60,'Đánh thức' Mũi Cà Mau,"Đường Hồ Chí Minh đến Mũi Cà Mau, nơi đây dần trở nên sôi động, du khách đã bắt đầu tấp nập.",2025-02-03T16:00:00+07:00,Chủ đề Kinh tế
61,"Cơ chế mới cho NOXH, doanh nghiệp và người dân cùng hưởng lợi","Nhiều doanh nghiệp và chuyên gia kinh tế kỳ vọng cơ chế mở và thủ tục rút gọn sẽ thúc đẩy xây dựng 1 triệu căn NOXH, đồng thời một người dân đã được tính lại tiền sử dụng đất và giảm, trong khi dự án 11.000 tỷ tại Bình Thuận của Sun Group sẽ xây dựng gần 2.300 căn nhà ở xã hội.",2025-02-04T16:00:00+07:00,Chủ đề Bất động sản
62,"Vàng, ô tô điện và rau xanh sau Tết: Biến động giá cả và chính sách mới","Vàng nhẫn và vàng miếng hết hàng sau Tết, ô tô điện chịu lệ phí trước bạ từ 1/3/2025, rau xanh được ưa chuộng sau Tết nhưng giá tăng nhẹ, giá vàng hôm nay tăng mạnh, giá lúa gạo giảm 1.000 đồng/kg, giá thép tăng do lo ngại thuế quan, giá cà phê tăng mạnh, giá dầu WTI giảm gần 2%.",2025-02-04T16:00:00+07:00,Chủ đề Hàng hóa
63,"Libya, Nhật Bản và Mỹ: Năng lượng tái tạo, xe buýt tự lái và chính sách thuế quan","Libya chuẩn bị bùng nổ năng lượng tái tạo, Nhật Bản vận hành xe buýt tự lái cấp độ 4, Mỹ áp thuế quan gây rủi ro, đồng thời hoãn áp thuế với Mexico và Canada, và có thể mua TikTok, Anh xem xét lại thuế với ""gã khổng lồ"" công nghệ Mỹ, EU siết kiểm tra hàng giá rẻ từ Temu và Shein.",2025-02-04T16:00:00+07:00,Chủ đề Thế giới
64,Cơ chế CCP và triển vọng thị trường chứng khoán,"Cơ chế CCP là yếu tố căn cơ giải quyết vấn đề nâng hạng TTCK, một số cổ phiếu cần quan tâm ngày 4/2, cổ phiếu công nghệ mất giá do ""bão"" DeepSeek, thị trường chứng khoán Việt Nam tự tin vươn mình, VNDirect được dự báo tăng 33%, khối ngoại bán ròng gần 1.000 tỷ đồng.",2025-02-04T16:00:00+07:00,Chủ đề Thị trường
65,"Các vấn đề kinh tế nổi bật: Cao tốc, biển số xe, khu công nghiệp và tăng trưởng","Bộ trưởng Trần Hồng Minh yêu cầu giải pháp xử lý đất yếu, Bộ Công an yêu cầu đổi biển số xe trong năm 2025, các khu công nghiệp Bình Dương nhộn nhịp trở lại, Việt Nam đặt mục tiêu tăng trưởng 8% năm 2025, các kịch bản tăng trưởng cho năm 2025, giảm phát khác lạm phát, ngành sản xuất Việt Nam giảm trong tháng đầu năm 2025.",2025-02-04T16:00:00+07:00,Chủ đề Kinh tế
66,"Thu nhập, lãi suất, tỷ giá và các vấn đề tài chính cá nhân","Nhiều người mong muốn kiếm 30 triệu/tháng, câu chuyện đánh đổi giữa lãi suất và tỷ giá, OCB bị khấu trừ tiền từ tài khoản, lãi suất ngân hàng tăng mạnh sau Tết, cao nhất lên đến 9%, loạt lãnh đạo ngân hàng chi hàng chục, hàng trăm tỷ đồng mua cổ phiếu, 5 nguyên tắc quản lý tài chính cá nhân.",2025-02-04T16:00:00+07:00,Chủ đề Tài chính
67,"Đức, Nga và Indonesia: Khí đốt, dầu thô và lúa gạo","Đức tiếp tục mua LNG để ngăn Nga kiếm tiền, Nga sở hữu khoảng 1.000 tàu chở dầu thô, tín hiệu lạc quan đầu năm của ngành sản xuất lúa gạo Indonesia, OPEC+ nhiều khả năng duy trì cắt giảm sản lượng dầu, chuyên gia dự báo lượng dầu thô tồn kho tại Mỹ sẽ tăng mạnh.",2025-02-04T16:00:00+07:00,Chủ đề Hàng hóa
68,"Bill Gates, Trung Quốc và các vấn đề toàn cầu","Tỉ phú Bill Gates cho đi 100 tỉ USD, Trung Quốc thể hiện sự điềm tĩnh trước chính sách thuế quan của Mỹ, Mỹ chấp nhận rủi ro lớn với chính sách thuế quan, Anh chuẩn bị trừng phạt năng lượng Nga, chứng khoán toàn cầu sụt giảm do chiến tranh thương mại.",2025-02-04T16:00:00+07:00,Chủ đề Thế giới
69,"Doanh nghiệp, nhân lực và các chính sách hỗ trợ","Doanh nghiệp năm 2025 phát huy động lực tăng trưởng mới, ""giải bài toán"" nhân lực bán dẫn, các khu công nghiệp Hải Phòng đã hoạt động trở lại, doanh nghiệp Việt cần tạo dựng chuỗi cung ứng an toàn trước ‘ẩn số’ thương chiến.",2025-02-04T16:00:00+07:00,Chủ đề Kinh tế
70,"Giá nhà, dự án và các chính sách liên quan","Giá nhà ở xã hội Hà Nội sẽ lập đỉnh mới, lộ diện 7 dự án nhà ở xã hội tại Bình Dương, đề xuất mới về miễn, giảm tiền sử dụng đất, đầu năm mới khởi công cầu hơn 230 tỉ đồng tại Thủ Đức, để mua nhà tại Hà Nội, TP. Hồ Chí Minh, công chức phải dành tiền lương từ 23 – 25 năm.",2025-02-04T16:00:00+07:00,Chủ đề Bất động sản
71,"Du lịch, vận tải và các hoạt động kinh tế khác","Bình Dương đón trên 140.000 lượt du khách trong dịp Tết, vận tải tăng trưởng hai con số ngay trong tháng đầu tiên của năm 2025, Hà Nội kiểm soát chặt hoạt động gần 4.000 đò, xuồng ở chùa Hương, VATM điều hành thành công hơn 25.000 chuyến bay trong dịp Tết, hơn 3 tỷ đô la Mỹ đầu tư vào VSIP Nghệ An.",2025-02-04T16:00:00+07:00,Chủ đề Kinh tế
72,Ngân hàng và các vấn đề liên quan,"BAB lần đầu báo lãi vượt 1.000 tỷ đồng, OCH báo lãi gấp 3 lần kế hoạch, lãnh đạo NHNN thăm và chúc Tết Agribank đầu năm mới, BIDV Bỉm Sơn đổi tên thành BIDV Trung Sơn Thanh Hoá, Techcombank giảm lãi suất, gửi 300 triệu đồng, sau 3 tháng nhận lãi bao nhiêu?, BID: NHNN cho phép BIDV tăng vốn điều lệ thêm 1.238 tỷ đồng.",2025-02-04T16:00:00+07:00,Chủ đề Tài chính
73,Các vấn đề quốc tế nổi bật,"Tesla cung cấp pin cho cơ sở lưu trữ điện lớn của Nhật Bản, Philippines ban bố tình trạng khẩn cấp về an ninh lương thực, EU kêu gọi ngành vận tải biển đẩy nhanh quá trình khử carbon, gần 25% lao động nước ngoài tại Nhật Bản là người Việt Nam, Nhật Bản muốn nâng tỷ lệ nội địa hóa lên 70% cho các dự án điện gió ngoài khơi.",2025-02-04T16:00:00+07:00,Chủ đề Thế giới
74,Các vấn đề kinh tế địa phương,"Bắc Ninh đề nghị Goertek xây dựng trung tâm R&D, Thanh Hoá thanh tra dự án công viên Hội An, Quảng Trị kỳ vọng từ lô hàng “xông đất”, Lâm Đồng nâng tầm giá trị nông sản, Hải Dương phấn đấu lọt 'top' 15 về chỉ số PCI, Hải Dương muốn thu hút ít nhất 1 tỷ USD vốn FDI vào các KCN năm nay.",2025-02-04T16:00:00+07:00,Chủ đề Kinh tế
75,Các mặt hàng và thị trường,"Thị trường ngày 04/02: Giá vàng lập đỉnh mới, dầu, đồng, ngũ cốc đồng loạt tăng, giá cà phê hôm nay 5/2: Giá cà phê Robusta và Arabica đồng loạt tăng, giá hàng hóa thế giới ""rung lắc"" mạnh sau khi Mỹ hoãn áp thuế lên Mexico và Canada, giá xăng dầu hôm nay (4-2): Nhích nhẹ.",2025-02-04T16:00:00+07:00,Chủ đề Hàng hóa
76,Các vấn đề về công nghệ và kinh doanh,"Cú lật mặt ngã ngửa: Phải chăng chính NVIDIA cõng rắn cắn gà nhà, tiếp tay tạo nên ""con quỷ"" Deepseek?, OpenAI bắt tay Kakao để chiếm lĩnh thị trường Hàn Quốc, Apple đối mặt với thuế nhập khẩu 10% từ Trung Quốc, DeepSeek: Bước ngoặt AI hay chỉ là cường điệu?",2025-02-04T16:00:00+07:00,Chủ đề Thế giới
77,Các vấn đề về chính sách và pháp lý,"Nghị định 168 và Tết Ất Tỵ - Vạn sự khởi đầu nan, Hướng dẫn quyết toán thuế thu nhập cá nhân mới nhất 2025, giảm phát khác lạm phát, Việt Nam quyết tâm cao, nỗ lực lớn, bước vào kỷ nguyên mới, Bộ Tài nguyên và Môi trường đẩy nhanh xây dựng, hoàn thành hệ thống thông tin đất đai quốc gia.",2025-02-04T16:00:00+07:00,Chủ đề Kinh tế
78,Các vấn đề về bảo hiểm và quản lý tài chính,"Một doanh nghiệp bảo hiểm bị phạt 200 triệu đồng vì hành vi ""lôi kéo khách hàng bất chính"", 5 nguyên tắc quản lý tài chính cá nhân quan trọng bạn cần biết, đưa thị trường bảo hiểm vào quỹ đạo, nhộn nhịp giao dịch tín dụng đầu xuân.",2025-02-04T16:00:00+07:00,Chủ đề Tài chính
79,Các dự án và chính sách,"Sau hơn một năm ""dạo chơi"" phía Bắc, giới đầu tư bất động sản bất ngờ “Nam tiến” trở lại, những kết quả khả quan sau 2 năm tái cấu trúc của Novaland, đầu năm, hàng loạt dự án lớn ""xông đất"" tỉnh Bình Dương, xóa 240.000 căn nhà tạm, dột nát trong năm 2025: Giải pháp nào để cán đích?",2025-02-04T16:00:00+07:00,Chủ đề Bất động sản
80,Các vấn đề về tăng trưởng và đầu tư,"Doanh nghiệp Việt cần tạo dựng chuỗi cung ứng an toàn trước ‘ẩn số’ thương chiến, các kịch bản tăng trưởng cho năm 2025, EVN làm chủ đầu tư Nhà máy điện hạt nhân Ninh Thuận 1, Quảng Trị đẩy mạnh đầu tư các dự án vận tải biển và logistics, Bộ GTVT đặt mục tiêu giải ngân đầu tư công đạt 95% trong 2025.",2025-02-04T16:00:00+07:00,Chủ đề Kinh tế
81,"Hà Nội: Dự án NOXH Hạ Đình nhận hồ sơ quý IV/2025, giá bán 25 triệu đồng/m2","Dự án NOXH Hạ Đình tại Hà Nội dự kiến nhận hồ sơ quý IV/2025, giá bán tạm tính 25 triệu đồng/m2, giá thuê 150.000 đồng/m2/tháng và thuê mua 390.000 đồng/m2/tháng.",2025-02-05T16:00:00+07:00,Chủ đề Bất động sản
82,"Đồng Nai: Xuất nhập khẩu Tết đạt 3,1 triệu USD","Tổng kim ngạch xuất, nhập khẩu của Đồng Nai đạt trên 3,1 triệu USD trong kỳ nghỉ Tết Nguyên đán Ất Tỵ 2025 (từ 25-1 đến 1-2).",2025-02-05T16:00:00+07:00,Chủ đề Kinh tế
83,Trái phiếu xanh sôi động trở lại năm 2024,"Năm 2024 chứng kiến sự sôi động trở lại của trái phiếu xanh, xã hội và bền vững.",2025-02-05T16:00:00+07:00,Chủ đề Tài chính
84,Doanh nghiệp Việt Nam vươn mình vào kỷ nguyên mới,"Các doanh nghiệp Việt Nam sẽ vươn mình mạnh mẽ, góp phần đưa đất nước tiến vào kỷ nguyên mới nhờ kiện toàn hệ thống quản trị doanh nghiệp hiện đại.",2025-02-05T16:00:00+07:00,Chủ đề Tài chính
85,"Ông Trump lập quỹ đầu tư quốc gia, tham vọng mua TikTok",Tổng thống Mỹ Donald Trump yêu cầu thành lập quỹ đầu tư quốc gia để mua lại TikTok.,2025-02-05T16:00:00+07:00,Chủ đề Thế giới
86,"Cán bộ, công chức không du xuân, chúc Tết trong giờ làm việc","Thủ tướng Chính phủ yêu cầu cán bộ, công chức, viên chức thực hiện nghiêm kỷ cương hành chính, kỷ luật lao động, không tổ chức du xuân, chúc Tết trong giờ làm việc.",2025-02-05T16:00:00+07:00,Chủ đề Kinh tế
87,Phụ nữ độc lập tài chính lên ngôi,Độc lập tài chính lên ngôi trong tư duy và hành động của nhiều phụ nữ trong vài năm trở lại đây.,2025-02-05T16:00:00+07:00,Chủ đề Tài chính
88,"Giá sầu riêng rẻ bất thường, cần lời giải","Giá sầu riêng trên chợ mạng đang rất rẻ, trái với thông lệ ra giêng giá cao.",2025-02-05T16:00:00+07:00,Chủ đề Hàng hóa
